ACCESSION	CLADE	GROUP.NUM	GROUP.ROW	CATEGORY	ROWTYPE	SOURCE	COUNTRY	LATTITUDE	LONGTITUDE	"PCoA, Axis 1"	"PCoA, Axis 2"	"PCoA, Axis 3"	CLADE.OLD	VARIETY	OTHER.ACC	HABIT
131-P1356061	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Ethiopia	9.030	38.740	-0.0048628	-0.0059835	-0.0031111	1			
38-PI356226	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Morocco	34.250	-6.480	-0.0076267	0.0031799	-0.00079961	1			
B1K-03-04	4	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.412	34.878	0.0056746	0.011069	-0.012006	3			
B1K-03-07	4	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.412	34.878	0.0095305	0.012151	-0.010447	3			
B1K-03-09	4	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.412	34.878	0.009725	0.0077755	-0.010814	3			
B1K-04-08	7	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	31.835	35.306	0.012324	0.0018466	-0.011737	6			
B1K-04-12	8	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	31.835	35.306	0.0113	0.0030797	-0.013413	8			
B1K-04-13	8	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	31.835	35.306	0.011914	0.0044745	-0.014171	8			
B1K-07-02	7	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.342	35.516	0.0075551	0.0015004	-0.0083346	6			
B1K-07-11	7	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.342	35.516	0.0098069	0.00074818	-0.0074052	6			
B1K-07-17	7	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.342	35.516	0.011341	0.0020032	-0.0091875	6			
B1K-10-01	5	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	31.697	34.584	0.015068	0.0086473	-0.013684	4			
B1K-10-05	5	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	31.697	34.584	0.013693	0.0089363	-0.013264	4			
B1K-10-10	8	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	31.697	34.584	0.014536	0.0073742	-0.012651	8			
B1K-14-13	10	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.779	35.661	0.016129	0.0077196	-0.00046899	10			
B1K-14-17	10	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.779	35.661	0.017586	0.0064631	-0.00099939	10			
B1K-15-07	10	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.691	35.662	0.01525	0.0057554	-0.0016986	10			
B1K-15-15	2	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.691	35.662	0.016994	0.0035693	0.0041663	2			
B1K-15-19	10	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.691	35.662	0.020405	0.0034989	-0.0035962	10			
B1K-16-01	8	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	31.347	35.122	0.016328	0.0060091	-0.0073229	8			
B1K-16-10	8	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	31.347	35.122	0.014083	0.0069279	-0.0083324	8			
B1K-16-15	8	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	31.347	35.122	0.012707	0.0063596	-0.0058911	8			
B1K-17-07	5	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	31.538	34.891	0.016402	0.010661	-0.010085	4			
B1K-17-10	5	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	31.538	34.891	0.013533	0.012781	-0.012111	4			
B1K-17-17	5	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	31.538	34.891	0.015031	0.010181	-0.011308	4			
B1K-19-01	10	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	31.918	35.022	0.017373	0.0056986	-0.0040558	10			
B1K-19-12	10	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	31.918	35.022	0.015043	0.0099914	-0.0084184	10			
B1K-20-17	10	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.618	34.931	0.01741	0.0058881	-0.0043199	10			
B1K-21-20	9	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.653	34.974	0.016411	0.013172	-0.0068979	11			
B1K-25-01	8	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.463	35.434	0.012038	0.0071573	-0.008435	9			
B1K-25-15	8	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.463	35.434	0.011206	0.0065628	-0.0094548	9			
B1K-25-20	8	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.463	35.434	0.014063	0.0066029	-0.0074129	9			
B1K-26-08	10	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.748	35.639	0.015229	0.0046097	-0.0035799	10			
B1K-26-16	10	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.748	35.639	0.017525	0.0028325	0.00043552	10			
B1K-26-17	10	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.748	35.639	0.016563	0.0064728	-0.0035928	10			
B1K-27-08	9	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.875	35.544	0.017415	0.01309	-0.0041591	11			
B1K-27-15	9	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.875	35.544	0.018374	0.010073	-0.009289	11			
B1K-28-10	9	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.824	35.496	0.019221	0.013569	-0.01154	11			
B1K-28-17	9	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.824	35.496	0.016146	0.01376	-0.011205	11			
B1K-29-04	9	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.824	35.496	0.017348	0.011849	-0.008621	11			
B1K-29-13	9	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.824	35.496	0.018247	0.014763	-0.011792	11			
B1K-29-20	9	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.824	35.496	0.020044	0.012619	-0.0082486	11			
B1K-30-03	10	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.715	34.977	0.020762	0.011081	-0.0079458	10			
B1K-30-07	9	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.715	34.977	0.01456	0.010511	-0.0066355	11			
B1K-30-13	5	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.715	34.977	0.014393	0.011368	-0.0075287	4			
B1K-31-01	4	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.773	35.447	0.01187	0.0053662	-0.011039	3			
B1K-31-05	4	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.773	35.447	0.0091028	0.0027671	-0.0077599	3			
B1K-31-19	4	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.773	35.447	0.0092122	0.0025027	-0.0080557	3			
B1K-32-02	2	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.578	35.471	0.01313	0.0019816	-0.0001184	2			
B1K-32-13	2	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.578	35.471	0.013804	0.0067441	-0.0038461	2			
B1K-33-03	4	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	30.572	34.677	0.0090528	0.0029961	-0.0081991	3			
B1K-33-09	9	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	30.572	34.677	0.015954	0.014391	-0.0083455	11			
B1K-33-13	9	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	30.572	34.677	0.018026	0.012506	-0.0082064	11			
B1K-35-11	5	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	31.597	34.899	0.014522	0.0083367	-0.0099891	4			
B1K-35-16	5	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	31.597	34.899	0.012267	0.010572	-0.010387	4			
B1K-35-19	5	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	31.597	34.899	0.011693	0.010947	-0.011541	4			
B1K-37-06	9	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.906	35.607	0.015646	0.0082474	-0.0076138	11			
B1K-37-11	9	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.906	35.607	0.019013	0.010639	-0.0090652	11			
B1K-37-15	9	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.906	35.607	0.017785	0.011836	-0.008736	11			
B1K-38-01	9	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.944	35.702	0.014611	0.0089239	-0.0066555	11			
B1K-38-08	10	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.944	35.702	0.018305	0.0071368	-0.002336	10			
B1K-38-14	9	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.944	35.702	0.016627	0.0083101	-0.0018016	11			
B1K-41-08	9	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	33.251	35.648	0.020755	0.011903	-0.010504	11			
B1K-41-13	9	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	33.251	35.648	0.016657	0.0099627	-0.0056272	11			
B1K-41-18	9	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	33.251	35.648	0.019808	0.0097791	-0.0058517	11			
B1K-42-01	9	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	33.140	35.630	0.019228	0.0094978	-0.0028225	11			
B1K-42-07	10	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	33.140	35.630	0.016715	0.0090812	-0.0025742	10			
B1K-42-16	10	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	33.140	35.630	0.016485	0.01136	-0.0028448	10			
B1K-44-07	5	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.988	35.190	0.012165	0.011006	-0.008877	4			
B1K-44-09	9	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.988	35.190	0.014242	0.012941	-0.0067348	11			
B1K-44-13	9	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.988	35.190	0.01594	0.010436	-0.007186	11			
B1K-48-11	5	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	31.690	35.013	0.011755	0.0137	-0.0079522	4			
B1K-48-16	5	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	31.690	35.013	0.015334	0.010789	-0.0075656	4			
B1K-48-19	5	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	31.690	35.013	0.015749	0.011323	-0.013439	4			
B1K-51-01	9	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.974	35.424	0.015338	0.013218	-0.0038885	11			
B1K-51-07	9	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.974	35.424	0.016846	0.010339	-0.0028056	11			
B1K-51-13	3	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.974	35.424	0.018403	-0.0072902	0.0094709	3			
BCC003	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Afghanistan	34.633	65.750	-0.006633	-0.0038994	-0.00033386	1			
BCC103	6	4	Landrace 6-row	Landrace	6	ExCAP landrace	Jordan	32.117	36.267	-0.00060563	-0.014795	-0.0070431	5			
BCC105	10	3	Landrace 2-row	Landrace	2	ExCAP landrace	Jordan	31.283	35.833	-0.0025773	-0.00037567	0.0030644	10			
BCC107	10	3	Landrace 2-row	Landrace	2	ExCAP landrace	Lebanon	33.933	36.100	-0.00087099	0.0039713	0.00032501	10			
BCC108	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Lebanon	34.333	35.733	-0.011265	0.0063324	0.00020217	1			
BCC110	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Lebanon	34.433	36.050	-0.011069	0.0067618	0.00045235	1			
BCC126	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Morocco	31.370	-5.790	-0.0075061	0.0049325	-0.0028163	1			
BCC131	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Morocco	32.050	-3.050	-0.010207	0.0037964	-0.0021336	1			
BCC1481	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Russia	61.783	34.350	-0.0095468	-0.00083405	0.00063784	1			
