ACCESSION	GROUP.ROW	LATTITUDE	LONGTITUDE	COLOUR
WB-029	Cultivar 2-row	49.1	4.6	"deepskyblue1"
WB-057	Cultivar 2-row	48.5	11.4	"deepskyblue1"
WB-100	Cultivar 2-row	48.5	11.4	"deepskyblue1"
WB-102	Cultivar 2-row	48.5	11.4	"deepskyblue1"
WB-103	Cultivar 2-row	48.5	11.4	"deepskyblue1"
WB-104	Cultivar 2-row	48.2	15.8	"deepskyblue1"
WB-105	Cultivar 2-row	48.5	11.4	"deepskyblue1"
WB-106	Cultivar 2-row	48.5	11.4	"deepskyblue1"
WB-107	Cultivar 2-row	48.2	15.8	"deepskyblue1"
WB-149	Cultivar 2-row	35.718	127.153	"deepskyblue1"
WB-159	Cultivar 2-row	53.544	-113.491	"deepskyblue1"
WB-161	Cultivar 2-row	21.019	-101.257	"deepskyblue1"
WB-165	Cultivar 2-row	48.507	-111.856	"deepskyblue1"
WB-168	Cultivar 2-row	21.019	-101.257	"deepskyblue1"
WB-173	Cultivar 2-row	-38.733	-72.667	"deepskyblue1"
WB-174	Cultivar 2-row	53.544	-113.491	"deepskyblue1"
WB-175	Cultivar 2-row	48.507	-111.856	"deepskyblue1"
WB-180	Cultivar 2-row	48.5	11.4	"deepskyblue1"
WB-181	Cultivar 2-row	52.9	6.3	"deepskyblue1"
WB-182	Cultivar 2-row	49.1	4.6	"deepskyblue1"
WB-183	Cultivar 2-row	49.1	4.6	"deepskyblue1"
WB-184	Cultivar 2-row	52.8	16.5	"deepskyblue1"
WB-185	Cultivar 2-row	56.3	-3.7	"deepskyblue1"
WB-186	Cultivar 2-row	52.9	6.3	"deepskyblue1"
WB-187	Cultivar 2-row	56.3	9.1	"deepskyblue1"
WB-188	Cultivar 2-row	49.1	4.6	"deepskyblue1"
WB-189	Cultivar 2-row	56.3	-3.7	"deepskyblue1"
WB-192	Cultivar 2-row	56.3	-3.7	"deepskyblue1"
WB-193	Cultivar 2-row	56.3	-3.7	"deepskyblue1"
WB-194	Cultivar 2-row	56.3	-3.7	"deepskyblue1"
WB-195	Cultivar 2-row	48.5	11.4	"deepskyblue1"
WB-196	Cultivar 2-row	52.8	16.5	"deepskyblue1"
WB-197	Cultivar 2-row	48.5	11.4	"deepskyblue1"
WB-198	Cultivar 2-row	52.9	6.3	"deepskyblue1"
WB-199	Cultivar 2-row	52.2	-8.5	"deepskyblue1"
WB-2	Cultivar 2-row	48.5	11.4	"deepskyblue1"
WB-201	Cultivar 2-row	48.5	11.4	"deepskyblue1"
WB-202	Cultivar 2-row	56.3	9.1	"deepskyblue1"
WB-203	Cultivar 2-row	52.9	6.3	"deepskyblue1"
WB-204	Cultivar 2-row	52.9	6.3	"deepskyblue1"
WB-205	Cultivar 2-row	56.5	13.5	"deepskyblue1"
WB-206	Cultivar 2-row	46.4	19.9	"deepskyblue1"
WB-208	Cultivar 2-row	56.5	13.5	"deepskyblue1"
WB-209	Cultivar 2-row	49.1	4.6	"deepskyblue1"
WB-210	Cultivar 2-row	48.5	11.4	"deepskyblue1"
WB-211	Cultivar 2-row	56.5	13.5	"deepskyblue1"
WB-212	Cultivar 2-row	48.5	11.4	"deepskyblue1"
WB-214	Cultivar 2-row	56.3	-3.7	"deepskyblue1"
WB-215	Cultivar 2-row	48.2	15.8	"deepskyblue1"
WB-216	Cultivar 2-row	56.3	-3.7	"deepskyblue1"
WB-217	Cultivar 2-row	48.2	15.8	"deepskyblue1"
WB-218	Cultivar 2-row	56.5	13.5	"deepskyblue1"
WB-219	Cultivar 2-row	48.5	11.4	"deepskyblue1"
WB-220	Cultivar 2-row	56.5	13.5	"deepskyblue1"
WB-221	Cultivar 2-row	48.5	11.4	"deepskyblue1"
WB-222	Cultivar 2-row	49.4	15.8	"deepskyblue1"
WB-223	Cultivar 2-row	56.3	-3.7	"deepskyblue1"
WB-224	Cultivar 2-row	56.5	13.5	"deepskyblue1"
WB-225	Cultivar 2-row	48.5	11.4	"deepskyblue1"
WB-226	Cultivar 2-row	56.3	9.1	"deepskyblue1"
WB-227	Cultivar 2-row	48.5	11.4	"deepskyblue1"
WB-228	Cultivar 2-row	52.9	6.3	"deepskyblue1"
WB-229	Cultivar 2-row	49.4	15.8	"deepskyblue1"
WB-230	Cultivar 2-row	52.9	6.3	"deepskyblue1"
WB-231	Cultivar 2-row	49.1	4.6	"deepskyblue1"
WB-232	Cultivar 2-row	48.5	11.4	"deepskyblue1"
WB-233	Cultivar 2-row	48.5	11.4	"deepskyblue1"
