CHROM	POS	GENE	cultivars	landraces	spontaneums
chr2H	262202726	MSTRG.10553	1	1	2
chr2H	399546288	MSTRG.11376	1	1	1
chr3H	339063673	MSTRG.20567	4	6	2
chr6H	207685553	MSTRG.44393	1	1	1
chr6H	221552392	MSTRG.44459	3	3	4
chr6H	231796628	MSTRG.44532	1	1	2
chr6H	250061626	MSTRG.44624	3	2	2
chr6H	257176226	MSTRG.44665	3	4	3
chr6H	255222167	MSTRG.44684	2	4	1
chr6H	249829949	MSTRG.44754	3	5	1
chr6H	295113759	MSTRG.44845	2	2	2
chr6H	288102632	MSTRG.44955	1	3	2
chr7H	260102811	MSTRG.52664	3	3	3
chr7H	260102837	MSTRG.52665	3	3	3
chr7H	271449162	MSTRG.52733	1	1	1
chr7H	271445977	MSTRG.52736	1	2	1
chr7H	277284923	MSTRG.52762	1	1	1
chr7H	295476075	MSTRG.52855	1	2	1
chr7H	312354736	MSTRG.52930	2	4	2
chr7H	316189958	MSTRG.52950	2	3	2
chr7H	325177943	MSTRG.53032	3	2	1
chr7H	329596918	MSTRG.53082	2	2	2
chr1H	162380790	MSTRG.2065	1	1	4
chr1H	167175995	MSTRG.2096	1	1	1
chr1H	230087797	MSTRG.2392	1	1	3
chr1H	240530244	MSTRG.2466	1	2	3
chr1H	271622919	MSTRG.2631	2	2	1
chr1H	271980466	MSTRG.2634	3	3	3
chr1H	275283618	MSTRG.2660	3	3	4
chr1H	296329125	MSTRG.2765	2	2	2
chr2H	351854625	MSTRG.11062	2	1	2
chr2H	351832736	MSTRG.11073	1	3	2
chr2H	366232790	MSTRG.11161	1	2	4
chr4H	215519920	MSTRG.28249	1	2	1
chr4H	344119200	MSTRG.28843	1	1	4
chr4H	396797025	MSTRG.29177	2	3	1
chr5H	253350272	MSTRG.34656	2	2	2
chr6H	302446777	MSTRG.44901	3	4	3
chr7H	321407034	MSTRG.52986	1	1	1
chr7H	375836285	MSTRG.53335	2	4	3
